Ion,A,a,B,b,C,c,D
Np6+,0.171,18.5337,0.9879,6.6246,0.9044,2.1004,0.0278
Pu3+,0.4198,18.5417,0.9959,6.6002,0.8593,2.0818,0.0284
Pu4+,0.176,18.5417,0.9105,6.5787,0.897,2.0622,0.0294
Pu5+,0.3852,18.5497,0.9415,6.5507,0.8492,2.0425,0.0301
Pu6+,0.157,18.5553,0.8484,6.5403,0.888,2.0367,0.0318
Am2+,0.8734,18.9876,1.5594,6.0872,0.8142,2.415,0.0111
Am3+,4.1582,16.5336,2.4675,5.9516,-0.0252,0.7646,0.0057
Am4+,3.7449,13.8944,2.6453,4.8634,-0.5218,3.1919,0.0009
Am5+,3.0724,12.546,2.3076,5.2314,-0.0644,1.4738,0.0035
Am6+,3.717,15.1333,2.3216,5.5025,-0.0275,0.7996,0.0052
Am7+,2.9203,14.6463,2.5979,5.5592,-0.0301,0.3669,0.0141
,2.3308,13.654,2.7219,5.4935,-0.1357,0.0493,0.1224
,1.8245,13.1803,2.8508,5.4068,-0.1579,0.0444,0.1438
,2.0885,12.8712,2.5961,5.1896,-0.1465,0.0393,0.1343
,2.7244,12.9262,2.3387,5.1633,-0.13,0.0457,0.1177
,2.1409,12.8319,2.5664,5.1522,-0.1338,0.0457,0.121
,1.7262,12.324,2.6652,5.0662,-0.1695,0.0406,0.155
,3.5237,15.9545,2.2855,5.1946,-0.0142,0.5853,0.0033
,2.8622,14.7328,2.4099,5.1439,-0.1326,0.0309,0.1233
,2.4141,12.9478,2.3687,4.9447,-0.249,0.0215,0.2371
,2.0109,12.0534,2.4155,4.8358,-0.2264,0.0275,0.2128
,1.6778,11.3372,2.4531,4.7247,-0.2043,0.0337,0.1892
,1.8845,9.1606,2.0746,4.0422,-0.1318,1.7227,0.002
